title,cue,file_count,scanned_files,scanned_bytes,store_count,mode_values,baud_values,ctrl_values,multipliers,nominal_periods,fixed2x_periods,pair_count,notes
Andretti Racing (USA),Z:\Games\MiSTer\games\PSX\_Link_\Andretti Racing (USA)\Andretti Racing (USA).cue,22,3,845824,70,"0x0000,0x0001,0x00ce","0x0000,0x0001,0x00d8","0x0000,0x0001,0x0010,0x0050,0x0100","1,16","1,3456","2,6912",4,
Armored Core (USA),Z:\Games\MiSTer\games\PSX\_Link_\Armored Core (USA)\Armored Core (USA).cue,124,1,169984,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Armored Core - Master of Arena (USA) (Disc 1),Z:\Games\MiSTer\games\PSX\_Link_\Armored Core - Master of Arena (USA) (Disc 1)\Armored Core - Master of Arena (USA) (Disc 1).cue,125,1,190464,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Armored Core - Master of Arena (USA) (Disc 2),Z:\Games\MiSTer\games\PSX\_Link_\Armored Core - Master of Arena (USA) (Disc 2)\Armored Core - Master of Arena (USA) (Disc 2).cue,125,1,190464,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Armored Core - Project Phantasma (USA),Z:\Games\MiSTer\games\PSX\_Link_\Armored Core - Project Phantasma (USA)\Armored Core - Project Phantasma (USA).cue,120,1,178176,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Assault Rigs (USA),Z:\Games\MiSTer\games\PSX\_Link_\Assault Rigs (USA)\Assault Rigs (USA).cue,12,2,901120,36,"0x0000,0x0004,0x00ce","0x0000,0x0004,0x00d8","0x0000,0x0004,0x0010,0x0050,0x0100",16,3456,6912,4,
Ayrton Senna Kart Duel (Europe),Z:\Games\MiSTer\games\PSX\_Link_\Ayrton Senna Kart Duel (Europe)\Ayrton Senna Kart Duel (Europe).cue,515,1,618496,33,0x00ce,,"0x0000,0x0050",,,,0,
Blast Radius (Europe),Z:\Games\MiSTer\games\PSX\_Link_\Blast Radius (Europe)\Blast Radius (Europe).cue,186,1,292864,0,,,,,,,0,
Blast Radius (USA),Z:\Games\MiSTer\games\PSX\_Link_\Blast Radius (USA)\Blast Radius (USA).cue,186,1,276480,0,,,,,,,0,
Bogey - Dead 6 (USA),Z:\Games\MiSTer\games\PSX\_Link_\Bogey - Dead 6 (USA)\Bogey - Dead 6 (USA).cue,170,1,573440,36,"0x00ce,0x00ff","0x00d8,0x00ff","0x0000,0x0010,0x0050,0x00ff,0x0826,0x1827","16,64","3456,4080,16320","6912,8160,32640",3,
Burning Road (USA),Z:\Games\MiSTer\games\PSX\_Link_\Burning Road (USA)\Burning Road (USA).cue,4,1,307200,36,"0x0000,0x00ce","0x0000,0x00d8","0x0000,0x0010,0x0050,0x0826,0x1827",16,3456,6912,3,
Bushido Blade (USA),Z:\Games\MiSTer\games\PSX\_Link_\Bushido Blade (USA)\Bushido Blade (USA).cue,351,121,36497912,40,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,2,
Bushido Blade 2 (USA),Z:\Games\MiSTer\games\PSX\_Link_\Bushido Blade 2 (USA)\Bushido Blade 2 (USA).cue,162,2,731136,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
C1 - Circuit (Japan),Z:\Games\MiSTer\games\PSX\_Link_\C1 - Circuit (Japan)\C1 - Circuit (Japan).cue,97,7,1097728,68,"0x0003,0x00ce","0x0003,0x00d8","0x0003,0x0010,0x0050,0x0300,0x0b26,0x1b27","16,64","48,192,3456","96,384,6912",6,
Car and Driver Presents - Grand Tour Racing '98 (USA),Z:\Games\MiSTer\games\PSX\_Link_\Car and Driver Presents - Grand Tour Racing '98 (USA)\Car and Driver Presents - Grand Tour Racing '98 (USA).cue,31,1,131072,39,"0x00ce,0x1050","0x0000,0x00d8","0x0001,0x0005,0x0050",16,3456,6912,2,
CART World Series (USA),Z:\Games\MiSTer\games\PSX\_Link_\CART World Series (USA)\CART World Series (USA).cue,372,4,2000000,84,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,4,
Command & Conquer - Red Alert (USA) (Disc 1) (Allies),Z:\Games\MiSTer\games\PSX\_Link_\Command & Conquer - Red Alert (USA) (Disc 1) (Allies)\Command & Conquer - Red Alert (USA) (Disc 1) (Allies).cue,5,1,1755136,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,2,
Command & Conquer - Red Alert (USA) (Disc 2) (Soviet),Z:\Games\MiSTer\games\PSX\_Link_\Command & Conquer - Red Alert (USA) (Disc 2) (Soviet)\Command & Conquer - Red Alert (USA) (Disc 2) (Soviet).cue,5,1,1755136,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,2,
Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies),Z:\Games\MiSTer\games\PSX\_Link_\Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies)\Command & Conquer - Red Alert - Retaliation (USA) (Disc 1) (Allies).cue,5,1,1728512,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,2,
Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet),Z:\Games\MiSTer\games\PSX\_Link_\Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet)\Command & Conquer - Red Alert - Retaliation (USA) (Disc 2) (Soviet).cue,5,1,1728512,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,2,
Cool Boarders 2 (USA),Z:\Games\MiSTer\games\PSX\_Link_\Cool Boarders 2 (USA)\Cool Boarders 2 (USA).cue,345,1,266240,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Dead in the Water (USA),Z:\Games\MiSTer\games\PSX\_Link_\Dead in the Water (USA)\Dead in the Water (USA).cue,16,2,976896,39,"0x00ce,0x1050",0x00d8,"0x0005,0x0050",16,3456,6912,1,
Descent (USA),Z:\Games\MiSTer\games\PSX\_Link_\Descent (USA)\Descent (USA).cue,25,1,727040,12,0x004e,,"0x0000,0x0050,0x0a27",,,,0,
